ROW_NUMBER,MISSION_NUMBER,OP_ORDER,UNIT,AIRCRAFT_TYPE_MDS,NBR_ATTACK_EFFEC_AIRCRAFT,SORTIE_DUPE,NBR_ABORT_AIRCRAFT,NBR_LOST_AIRCRAFT,TARGET_NAME,TGT_TYPE,SOURCE_UTM_JAPAN_B,SOURCE_TGT_UTM,TGT_MGRS,TGT_LATITUDE_WGS84,TGT_LONGITUDE_WGS84,SOURCE_TGT_LAT,SOURCE_TGT_LONG,NBR_OF_WEAPONS,WEAPONS_TYPE,BOMB_SIGHTING_METHOD,TOTAL_BOMBLOAD_IN_LBS,TOT,MISSION_TYPE,ALTITUDE_FT,CALLSIGN,BDA,NOSE_FUZE,TAIL_FUZE,CALCULATED_BOMBLOAD_LBS,RECORD_SOURCE,DAY,MONTH,YEAR,MISSION_DATE,City/Town,geometry,In_Land
3316,594,348-51,98th Bomb Wing,B-29,1.0,1.0,,,Kowon,,,CU 4966,52SCJ4966,39.43032,127.24556,,,2,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,20000,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,1000.0,EXETER,6,11,1951,1951-11-06,Kowon County,POINT (127.24556 39.43032),True
3317,594,348-51,98th Bomb Wing,B-29,1.0,1.0,,,Sunchon,,,YD 5367,51SYD5367,39.41542,125.93877,,,3,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,23000,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,1500.0,EXETER,6,11,1951,1951-11-06,Sunchon-si,POINT (125.93877 39.41542),True
3318,594,348-51,98th Bomb Wing,B-29,1.0,1.0,,,Sinanju,,,YD 2486,51SYD2486,39.59447,125.60865,,,3,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,23000,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,1500.0,EXETER,6,11,1951,1951-11-06,Sinanju,POINT (125.60865 39.59447),True
3319,594,348-51,98th Bomb Wing,B-29,1.0,1.0,,,Chongju,,,XD 9096,51SXD9096,39.69272,125.21587,,,3,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,23000,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,1500.0,EXETER,6,11,1951,1951-11-06,Chongju-si,POINT (125.21587 39.69272),True
3320,594,348-51,98th Bomb Wing,B-29,1.0,1.0,,,Sonchon,,,XE 6307,51SXE6307,39.79736,124.90389,,,3,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,23000,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,1500.0,EXETER,6,11,1951,1951-11-06,Sonchon-up,POINT (124.90389 39.79736),True
3321,594,348-51,98th Bomb Wing,B-29,1.0,1.0,,,Chinnampo,,,YC 0989,51SYC0989,38.72496,125.40419,,,8,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,20000,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,4000.0,EXETER,6,11,1951,1951-11-06,Nampo,POINT (125.40419 38.72496),True
3322,594,348-51,98th Bomb Wing,B-29,1.0,1.0,,,Wonsan,,,CU 6634,52SCJ6634,39.14489,127.44938,,,8,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,20000,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,4000.0,EXETER,6,11,1951,1951-11-06,Wonsan-si,POINT (127.44938 39.14489),True
3323,594,348-51,98th Bomb Wing,B-29,1.0,,,,Pyongyang,,,YD 3822,51SYD3822,39.01467,125.74888,,,10,M16-A1 Leaflet Bomb,Radar,,061545I,Psycological Warfare,23000,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,5000.0,EXETER,6,11,1951,1951-11-06,P'yŏngyang,POINT (125.74888 39.01467),True
3324,594,348-51,19th Bomb Group,B-29,1.0,1.0,,,Hungnam,,,,,39.11883431623932,126.4643732905983,,,1,M-46,Radar,,,Interdiction,23500,,,,,250.0,EXETER,6,11,1951,1951-11-06,Hwajeon Labor Union,POINT (126.4643732905983 39.11883431623932),True
3325,594,348-51,19th Bomb Group,B-29,1.0,1.0,1.0,,,Jettisoned,,,,39.11883431623932,126.4643732905983,2628N,12746E,1,M-46,,,,,,,Air abort due to an uncontrollable propeller on number 3 engine.,,,250.0,EXETER,6,11,1951,1951-11-06,Hwajeon Labor Union,POINT (126.4643732905983 39.11883431623932),True
3326,594,348-51,91st Strategic Recon Sq,,1.0,,,,"""Mission 6-S-1 accomplished visual, photo, and radar reconnaissance of Route Yoke Three plys a radar scope run on the city of Chongjin. The aircraft used a K-17 aerial camera with a 36 inch cone, a K-20 aerial camera, and an O-15 radar scope.""",,,,,39.11883431623932,126.4643732905983,,,,,,,,Recon,500 - 14500,,,,,,EXETER,6,11,1951,1951-11-06,Hwajeon Labor Union,POINT (126.4643732905983 39.11883431623932),True
3327,594,348-51,91st Strategic Recon Sq,,1.0,,,,Mission 6-S-2 accomplished vertical and oblique photography of FRJ-30 and oblique coverage only on FRJ-7 and 24. The aircraft used a K-17 aerial camera with a 36 inch and 12 inch cone.,,,,,39.11883431623932,126.4643732905983,,,,,,,,Recon,3500 - 7500,,,,,,EXETER,6,11,1951,1951-11-06,Hwajeon Labor Union,POINT (126.4643732905983 39.11883431623932),True
3328,595,349-51,98th Bomb Wing,B-29,1.0,1.0,,,Sunchon,Marshalling yard,,YD 5367,51SYD5367,39.41542,125.93877,,,14,100 GP,Shoran radar,,080144.5I,Interdiction,21600,,,VD 1 - 144 hours,,1400.0,EXETER,7,11,1951,1951-11-07,Sunchon-si,POINT (125.93877 39.41542),True
3329,595,349-51,98th Bomb Wing,B-29,1.0,1.0,,,Samdong-ni,Marshalling yard,,BU 6358,52SBJ6358,39.33897,126.25006,,,14,100 GP,Shoran radar,,080315.5I,Interdiction,21800,,,VD 1 - 144 hours,,1400.0,EXETER,7,11,1951,1951-11-07,Shinsungcheon Labor Union,POINT (126.25006 39.33897),True
3330,595,349-51,98th Bomb Wing,B-29,1.0,1.0,,,Taechon,Airfield,,YE 1319,51SYE1319,39.89433,125.49135,,,29,100 GP,Shoran radar,,080323.5I,Interdiction,24695,,,VD 1 - 144 hours,,2900.0,EXETER,7,11,1951,1951-11-07,North Korea,POINT (125.49135 39.89433),True
3331,595,349-51,98th Bomb Wing,B-29,1.0,,,,Sunchon,Marshalling yard,,YD 5367,51SYD5367,39.41542,125.93877,,,58,100 GP,Shoran radar,,080144.5I,Interdiction,21600,,,,0.01,5800.0,EXETER,7,11,1951,1951-11-07,Sunchon-si,POINT (125.93877 39.41542),True
3332,595,349-51,98th Bomb Wing,B-29,1.0,,,,Samdong-ni,Marshalling yard,,BU 6358,52SBJ6358,39.33897,126.25006,,,58,100 GP,Shoran radar,,080315.5I,Interdiction,21800,,,,0.01,5800.0,EXETER,7,11,1951,1951-11-07,Shinsungcheon Labor Union,POINT (126.25006 39.33897),True
3333,595,349-51,98th Bomb Wing,B-29,1.0,,,,Taechon,Airfield,,YE 1319,51SYE1319,39.89433,125.49135,,,115,100 GP,Shoran radar,,080323.5I,Interdiction,24695,,,,0.01,11500.0,EXETER,7,11,1951,1951-11-07,North Korea,POINT (125.49135 39.89433),True
3334,595,349-51,307th Bomb Wing,B-29,3.0,,,,Saamcham,Airfield,,YE 4904,51SYE4904,39.74955,125.90625,,,432,100 GP,Shoran radar,,,Interdiction,,,,,,43200.0,EXETER,7,11,1951,1951-11-07,North Korea,POINT (125.90625 39.74955),True
3335,595,349-51,307th Bomb Wing,B-29,1.0,1.0,,,,Jettisoned,,CT 1330,52SCH1330,38.19854,126.86444,,,3,500 GP,,,,MSQ-1 evaluation,,,Bombs salvied due to malfunction of bomb bay doors.,0.01,0.01,1500.0,EXETER,7,11,1951,1951-11-07,Kaesong,POINT (126.86444 38.19854),True
3336,595,349-51,307th Bomb Wing,B-29,1.0,,,,,Highway bridge,,CT 1531,52SCH1531,38.20796,126.88701,,,5,500 GP,Radar,,071425I,MSQ-1 evaluation,20000,,,0.01,0.01,2500.0,EXETER,7,11,1951,1951-11-07,Baekrosanri,POINT (126.88701 38.20796),True
3337,595,349-51,307th Bomb Wing,B-29,1.0,1.0,,,,Unknown target,,CT 9570,52SCH9570,38.57226,127.79466,,,18,500 GP,Radar,,072352I,Close support,18500,,,VT,Non-delay,9000.0,EXETER,7,11,1951,1951-11-07,Sadong-ri,POINT (127.79466 38.57226),True
3338,595,349-51,307th Bomb Wing,B-29,1.0,,,,,Unknown target,,CT 9165,52SCH9165,38.52673,127.74953,,,20,500 GP,Radar,,072324I,Close support,18500,,,VT,Non-delay,10000.0,EXETER,7,11,1951,1951-11-07,Shinsung-ri,POINT (127.74953 38.52673),True
3339,595,349-51,307th Bomb Wing,B-29,1.0,,,,,Artillery positions,,CT 3550,52SCH3550,38.383,127.11088,,,38,500 GP,Radar,,,Close support,17800,,2 secondary fires were observed on the first attack and 4 secondary fires after the second attack.,VT,Non-delay,19000.0,EXETER,7,11,1951,1951-11-07,Ryonghak-ri,POINT (127.11088 38.383),True
3340,595,349-51,307th Bomb Wing,B-29,1.0,,,,,Troops,,CT 3060,52SCH3060,38.47213,127.05125,,,38,500 GP,Radar,,,Close support,17500,,A large fire was started which spread rapidly in all directions.,VT,Non-delay,19000.0,EXETER,7,11,1951,1951-11-07,North Korea,POINT (127.05125 38.47213),True
3341,595,349-51,307th Bomb Wing,B-29,1.0,,,,,Unknown target,,DT 4415,52SDH4415,38.08105,128.36147,,,38,500 GP,Radar,,071311I,Interdiction,18000,,,0.01,0.01,19000.0,EXETER,7,11,1951,1951-11-07,Inje-eup,POINT (128.36147 38.08105),True
3342,595,349-51,98th Bomb Wing,B-29,1.0,1.0,,,Changyon,,,XC 8435,51SXC8435,38.2442,125.10262,,,2,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,1000.0,EXETER,7,11,1951,1951-11-07,Changyon-up,POINT (125.10262 38.2442),True
3343,595,349-51,98th Bomb Wing,B-29,1.0,1.0,,,Chaeryong,,,YC 2853,51SYC2853,38.39617,125.61079,,,2,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,1000.0,EXETER,7,11,1951,1951-11-07,Gosan-ri,POINT (125.61079 38.39617),True
3344,595,349-51,98th Bomb Wing,B-29,1.0,1.0,,,Hwangju,,,YC 4283,51SYC4283,38.66254,125.78132,,,2,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,1000.0,EXETER,7,11,1951,1951-11-07,North Korea,POINT (125.78132 38.66254),True
3345,595,349-51,98th Bomb Wing,B-29,1.0,1.0,,,Yangdok,,,CU 1735,52SCJ1735,39.14497,126.88241,,,2,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,1000.0,EXETER,7,11,1951,1951-11-07,Yangdok County,POINT (126.88241 39.14497),True
3346,595,349-51,98th Bomb Wing,B-29,1.0,1.0,,,Yonghung,,,CU 4879,52SCJ4879,39.54723,127.23098,,,2,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,1000.0,EXETER,7,11,1951,1951-11-07,Kumya-up,POINT (127.23098 39.54723),True
3347,595,349-51,98th Bomb Wing,B-29,1.0,1.0,,,Kowan,,,CU 4966,52SCJ4966,39.43032,127.24556,,,2,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,1000.0,EXETER,7,11,1951,1951-11-07,Kowon County,POINT (127.24556 39.43032),True
3348,595,349-51,98th Bomb Wing,B-29,1.0,1.0,,,Sariwon,,,YC 4164,51SYC4164,38.49178,125.76327,,,3,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,1500.0,EXETER,7,11,1951,1951-11-07,Sariwon-si,POINT (125.76327 38.49178),True
3349,595,349-51,98th Bomb Wing,B-29,1.0,1.0,,,Kyomipo,,,YC 2792,51SYC2792,38.74753,125.61204,,,3,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,1500.0,EXETER,7,11,1951,1951-11-07,Songnim-si,POINT (125.61204 38.74753),True
3350,595,349-51,98th Bomb Wing,B-29,1.0,,,,Haeju,,,YC 3713,51SYC3713,38.03373,125.70039,,,6,M16-A1 Leaflet Bomb,Radar,,072139I,Psycological Warfare,,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,3000.0,EXETER,7,11,1951,1951-11-07,Haeju-si,POINT (125.70039 38.03373),True
3351,595,349-51,98th Bomb Wing,B-29,1.0,1.0,,,Wonsan,,,CU 6634,52SCJ6634,39.14489,127.44938,,,8,M16-A1 Leaflet Bomb,Radar,,072236I,Psycological Warfare,,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,4000.0,EXETER,7,11,1951,1951-11-07,Wonsan-si,POINT (127.44938 39.14489),True
3352,595,349-51,98th Bomb Wing,B-29,1.0,,,,,Returned,,,,39.18707577946768,126.58397524714827,,,32,M16-A1 Leaflet Bomb,,,,Psycological Warfare,,,Aircraft air-aborted due to bomb bay door malfunction. All bombs returned to base. Fuzed to discharge leaflets 1000 ft above the terrain.,,,16000.0,EXETER,7,11,1951,1951-11-07,Yangdok County,POINT (126.58397524714827 39.18707577946768),True
3353,595,349-51,91st Strategic Recon Sq,,1.0,,,,"""7-S-1 accomplished visual and photographic reconnaissance of Route Yoke Three plus photographic coverage of these possible storage areas: EA 3515, EA 3114, and EA 2605. The aircraft used a K-17 aerial camera with a 36 inch cone.""",,,,,39.18707577946768,126.58397524714827,,,,,,,,Recon,2500 - 15000,,,,,,EXETER,7,11,1951,1951-11-07,Yangdok County,POINT (126.58397524714827 39.18707577946768),True
3354,596,350-51,19th Bomb Group,B-29,1.0,1.0,,,Namsi,Airfield,,XE 8923,51SXE8923,39.93603,125.212,,,28,100 GP,Shoran radar,,,Interdiction,25100,,,VD 1 - 144 hours,,2800.0,EXETER,8,11,1951,1951-11-08,Kusong-si,POINT (125.212 39.93603),True
3355,596,350-51,19th Bomb Group,B-29,1.0,1.0,,,Taechon,Airfield,,YE 1320,51SYE1320,39.90333,125.49167,,,29,100 GP,Shoran radar,,,Interdiction,23350,,,VD 1 - 144 hours,,2900.0,EXETER,8,11,1951,1951-11-08,Taechon-up,POINT (125.49167 39.90333),True
3356,596,350-51,19th Bomb Group,B-29,1.0,1.0,,,Kyomipo,Barracks area,,YC 2890,51SYC2890,38.72927,125.62288,,,29,100 GP,Radar,,,Interdiction,25800,,,,0.01,2900.0,EXETER,8,11,1951,1951-11-08,Songnim-si,POINT (125.62288 38.72927),True
3357,596,350-51,19th Bomb Group,B-29,1.0,1.0,,,Kyomipo,Barracks area,,YC 2890,51SYC2890,38.72927,125.62288,,,29,100 GP,Radar,,,Interdiction,22500,,,,,2900.0,EXETER,8,11,1951,1951-11-08,Songnim-si,POINT (125.62288 38.72927),True
3358,596,350-51,98th Bomb Wing,B-29,1.0,1.0,,,Namsi,Airfield,,XE 8822,51SXE8822,39.92725,125.20002,,,29,100 GP,Shoran radar,,090444I,Interdiction,24000,,"""Crew reported bomb pattern appeared """"good for the rate and course.""""""",VD 1 - 72 hours,,2900.0,EXETER,8,11,1951,1951-11-08,Unyang-dong,POINT (125.20002 39.92725),True
3359,596,350-51,19th Bomb Group,B-29,1.0,,,,Namsi,Airfield,,XE 8923,51SXE8923,39.93603,125.212,,,110,100 GP,Shoran radar,,,Interdiction,25100,,,,0.01,11000.0,EXETER,8,11,1951,1951-11-08,Kusong-si,POINT (125.212 39.93603),True
3360,596,350-51,19th Bomb Group,B-29,1.0,,,,Taechon,Airfield,,YE 1320,51SYE1320,39.90333,125.49167,,,115,100 GP,Shoran radar,,,Interdiction,23350,,,,0.01,11500.0,EXETER,8,11,1951,1951-11-08,Taechon-up,POINT (125.49167 39.90333),True
3361,596,350-51,19th Bomb Group,B-29,1.0,,,,Kyomipo,Barracks area,,YC 2890,51SYC2890,38.72927,125.62288,,,115,100 GP,Radar,,,Interdiction,25800,,,VD 1 - 144 hours,,11500.0,EXETER,8,11,1951,1951-11-08,Songnim-si,POINT (125.62288 38.72927),True
3362,596,350-51,19th Bomb Group,B-29,1.0,,,,Kyomipo,Barracks area,,YC 2890,51SYC2890,38.72927,125.62288,,,115,100 GP,Radar,,,Interdiction,22500,,,VD 1 - 144 hours,,11500.0,EXETER,8,11,1951,1951-11-08,Songnim-si,POINT (125.62288 38.72927),True
3363,596,350-51,98th Bomb Wing,B-29,1.0,,,,Namsi,Airfield,,XE 8822,51SXE8822,39.92725,125.20002,,,115,100 GP,Shoran radar,,090444I,Interdiction,24000,,"""Crew reported bomb pattern appeared """"good for the rate and course.""""""",,0.01,11500.0,EXETER,8,11,1951,1951-11-08,Unyang-dong,POINT (125.20002 39.92725),True
3364,596,350-51,19th Bomb Group,B-29,1.0,,,,,Unknown target,,YC 3843,51SYC3843,38.30354,125.72181,,,2,500 GP,Radar,,,MSQ-1 evaluation,30000,,,0.01,0.01,1000.0,EXETER,8,11,1951,1951-11-08,Seorim-ri,POINT (125.72181 38.30354),True
3365,596,350-51,19th Bomb Group,B-29,1.0,1.0,,,,Unknown target,,YC 3843,51SYC3843,38.30354,125.72181,,,2,500 GP,Radar,,,MSQ-1 evaluation,30000,,,0.01,0.01,1000.0,EXETER,8,11,1951,1951-11-08,Seorim-ri,POINT (125.72181 38.30354),True
3366,596,350-51,19th Bomb Group,B-29,1.0,1.0,,,,Bridge,,BT 9966,52SBH9966,38.51971,126.69441,,,2,500 GP,Radar,,,MSQ-1 evaluation,30000,,,0.01,0.01,1000.0,EXETER,8,11,1951,1951-11-08,North Korea,POINT (126.69441 38.51971),True
3367,596,350-51,19th Bomb Group,B-29,1.0,1.0,,,,Bridge,,BT 9966,52SBH9966,38.51971,126.69441,,,2,500 GP,Radar,,,MSQ-1 evaluation,30000,,,0.01,0.01,1000.0,EXETER,8,11,1951,1951-11-08,North Korea,POINT (126.69441 38.51971),True
3368,596,350-51,98th Bomb Wing,B-29,1.0,1.0,,,Masan-ni,Marshalling yard,,YC 4961,51SYC4961,38.46258,125.85383,,,3,500 GP,Visual,,,Interdiction,21050,,6th run - 3 bombs hit on the MPI.,0.01,0.01,1500.0,EXETER,8,11,1951,1951-11-08,Pongsan-up,POINT (125.85383 38.46258),True
3369,596,350-51,98th Bomb Wing,B-29,1.0,1.0,,,Masan-ni,Marshalling yard,,YC 4961,51SYC4961,38.46258,125.85383,,,4,500 GP,Visual,,,Interdiction,21050,,4th run - 4 bombs landed on the MPI.,0.01,0.01,2000.0,EXETER,8,11,1951,1951-11-08,Pongsan-up,POINT (125.85383 38.46258),True
3370,596,350-51,98th Bomb Wing,B-29,1.0,1.0,,,Masan-ni,Marshalling yard,,YC 4961,51SYC4961,38.46258,125.85383,,,4,500 GP,Visual,,,Interdiction,21050,,5th run - 4 bombs landed 250 ft short and to the left of the target.,0.01,0.01,2000.0,EXETER,8,11,1951,1951-11-08,Pongsan-up,POINT (125.85383 38.46258),True
3371,596,350-51,98th Bomb Wing,B-29,1.0,1.0,,,,Jettisoned,,,,39.2547604074074,126.64941825925924,3730N,12930E,4,500 GP,,,,,,,Bombs salvoed due to a release malfunction. The bombs were kicked out of the bomb bay by the bombardier and radio operator.,0.01,0.01,2000.0,EXETER,8,11,1951,1951-11-08,Yangdok County,POINT (126.64941825925924 39.2547604074074),True
3372,596,350-51,98th Bomb Wing,B-29,1.0,,,,Masan-ni,Marshalling yard,,YC 4961,51SYC4961,38.46258,125.85383,,,5,500 GP,Visual,,,Interdiction,21050,,1st run - 5 bombs fell 250 ft short of the target.,0.01,0.01,2500.0,EXETER,8,11,1951,1951-11-08,Pongsan-up,POINT (125.85383 38.46258),True
3373,596,350-51,98th Bomb Wing,B-29,1.0,1.0,,,Masan-ni,Marshalling yard,,YC 4961,51SYC4961,38.46258,125.85383,,,5,500 GP,Visual,,,Interdiction,21050,,2nd run - 5 bombs fell 250 ft short.,0.01,0.01,2500.0,EXETER,8,11,1951,1951-11-08,Pongsan-up,POINT (125.85383 38.46258),True
3374,596,350-51,98th Bomb Wing,B-29,1.0,1.0,,,Masan-ni,Marshalling yard,,YC 4961,51SYC4961,38.46258,125.85383,,,5,500 GP,Visual,,,Interdiction,21050,,3rd run - 5 bombs fell directly on the MPI. Secondary explosion resulted.,0.01,0.01,2500.0,EXETER,8,11,1951,1951-11-08,Pongsan-up,POINT (125.85383 38.46258),True
3375,596,350-51,19th Bomb Group,B-29,1.0,,,,,Unknown target,,CT 818582 to CT 812594,,39.2547604074074,126.64941825925924,,,10,500 GP,Radar,,,Close support,18500,,,VT,,5000.0,EXETER,8,11,1951,1951-11-08,Yangdok County,POINT (126.64941825925924 39.2547604074074),True
3376,596,350-51,19th Bomb Group,B-29,1.0,1.0,,,,Unknown target,,CT 779590 to CT 810595,,39.2547604074074,126.64941825925924,,,10,500 GP,Radar,,,Close support,18500,,,VT,,5000.0,EXETER,8,11,1951,1951-11-08,Yangdok County,POINT (126.64941825925924 39.2547604074074),True
3377,596,350-51,19th Bomb Group,B-29,1.0,1.0,,,,Unknown target,,CT 873613 to CT 880612,,39.2547604074074,126.64941825925924,,,10,500 GP,Radar,,,Close support,18500,,,VT,,5000.0,EXETER,8,11,1951,1951-11-08,Yangdok County,POINT (126.64941825925924 39.2547604074074),True
3378,596,350-51,19th Bomb Group,B-29,1.0,1.0,,,,Unknown target,,CT 545621 to CT 549632,,39.2547604074074,126.64941825925924,,,10,500 GP,Radar,,,Close support,18500,,,VT,,5000.0,EXETER,8,11,1951,1951-11-08,Yangdok County,POINT (126.64941825925924 39.2547604074074),True
3379,596,350-51,19th Bomb Group,B-29,1.0,,,,,Unknown target,,DT 103447 to DT 103451,,39.2547604074074,126.64941825925924,,,10,500 GP,Radar,,,Close support,17500,,Bombs fell 80 yards to the left of the target.,VT,,5000.0,EXETER,8,11,1951,1951-11-08,Yangdok County,POINT (126.64941825925924 39.2547604074074),True
3380,596,350-51,19th Bomb Group,B-29,1.0,1.0,,,,Unknown target,,DT 161452 to DT 163448,,39.2547604074074,126.64941825925924,,,10,500 GP,Radar,,,Close support,17500,,,VT,,5000.0,EXETER,8,11,1951,1951-11-08,Yangdok County,POINT (126.64941825925924 39.2547604074074),True
3381,596,350-51,19th Bomb Group,B-29,1.0,1.0,,,,Unknown target,,DT 171524,52SDH1524,38.15989,128.02976,,,10,500 GP,Radar,,,Close support,17500,,Bombs fell 100 yards to the left of the target.,VT,,5000.0,EXETER,8,11,1951,1951-11-08,Dong-myeon,POINT (128.02976 38.15989),True
3382,596,350-51,19th Bomb Group,B-29,1.0,1.0,,,,Unknown target,,DT 219503 to DT 103451,,39.2547604074074,126.64941825925924,,,10,500 GP,Radar,,,Close support,16700,,Bombs fell 75 yards to the right of the target.,VT,,5000.0,EXETER,8,11,1951,1951-11-08,Yangdok County,POINT (126.64941825925924 39.2547604074074),True
3383,596,350-51,98th Bomb Wing,B-29,2.0,1.0,,,Mulgae-ri,Marshalling yard,,BT 6750,52SBH6750,38.36787,126.333,,,16,500 GP,Visual,,,Combat crew evaluation,20500 - 21000,,,0.01,0.01,8000.0,EXETER,8,11,1951,1951-11-08,Pyongsan County,POINT (126.333 38.36787),True
3384,596,350-51,19th Bomb Group,B-29,1.0,,,,,Troop concentration,,BT 9921,52SBH9921,38.11448,126.70721,,,20,500 GP,Radar,,,Close support,17500,,,VT,,10000.0,EXETER,8,11,1951,1951-11-08,Kaesong,POINT (126.70721 38.11448),True
3385,596,350-51,19th Bomb Group,B-29,1.0,1.0,,,,Troop concentration,,CT 1630,52SCH1630,38.19916,126.89868,,,20,500 GP,Radar,,,Close support,17500,,,VT,,10000.0,EXETER,8,11,1951,1951-11-08,Kaesong,POINT (126.89868 38.19916),True
3386,596,350-51,19th Bomb Group,B-29,1.0,,,,,Bridge,,CT 9556,52SCH9556,38.44612,127.79676,,,20,500 GP,Radar,,,Golfball evaluation,18000,,Bombs fell 900 ft short and 400 ft tot eh left of the target.,0.01,0.01,10000.0,EXETER,8,11,1951,1951-11-08,Top plate,POINT (127.79676 38.44612),True
3387,596,350-51,19th Bomb Group,B-29,1.0,1.0,,,,Bridge,,CT 9556,52SCH9556,38.44612,127.79676,,,20,500 GP,Radar,,,Golfball evaluation,18000,,Bombs fell 500 ft short and 300 ft to the right on the second run.,0.01,0.01,10000.0,EXETER,8,11,1951,1951-11-08,Top plate,POINT (127.79676 38.44612),True
3388,596,350-51,98th Bomb Wing,B-29,3.0,,,,Sariwon,Marshalling yard,,YC 4165,51SYC4165,38.50078,125.76362,,,24,500 GP,Visual,,,Combat crew evaluation,20000 - 21000,,,0.01,0.01,12000.0,EXETER,8,11,1951,1951-11-08,Sariwon-si,POINT (125.76362 38.50078),True
3389,596,350-51,98th Bomb Wing,B-29,3.0,1.0,,,Sun-gan-dang,Marshalling yard,,CU 0744,52SCJ0744,39.22385,126.7642,,,32,500 GP,Visual,,,Combat crew evaluation,20000 - 21000,,,0.01,0.01,16000.0,EXETER,8,11,1951,1951-11-08,Yangdok County,POINT (126.7642 39.22385),True
3390,596,350-51,98th Bomb Wing,B-29,1.0,1.0,,,Changyon,,,XC 8435,51SXC8435,38.2442,125.10262,,,2,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,21000,,Mission accomplished as scheduled with the exception of the target at Koksan BT 9795 which was not bombed by 2 red-band leaflet bombs. Bombs intended for the target were instead dropped on Yonghung CU 4974.Fuzed to discharge leaflets 1000 ft above the terrain.,,,1000.0,EXETER,8,11,1951,1951-11-08,Changyon-up,POINT (125.10262 38.2442),True
3391,596,350-51,98th Bomb Wing,B-29,1.0,1.0,,,Sinchon,,,YC 1847,51SYC1847,38.34464,125.49453,,,2,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,21000,,Mission accomplished as scheduled with the exception of the target at Koksan BT 9795 which was not bombed by 2 red-band leaflet bombs. Bombs intended for the target were instead dropped on Yonghung CU 4974.Fuzed to discharge leaflets 1000 ft above the terrain.,,,1000.0,EXETER,8,11,1951,1951-11-08,Sinchon-up,POINT (125.49453 38.34464),True
3392,596,350-51,98th Bomb Wing,B-29,1.0,1.0,,,Yangdok,,,CU 1735,52SCJ1735,39.14497,126.88241,,,2,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,21000,,Mission accomplished as scheduled with the exception of the target at Koksan BT 9795 which was not bombed by 2 red-band leaflet bombs. Bombs intended for the target were instead dropped on Yonghung CU 4974.Fuzed to discharge leaflets 1000 ft above the terrain.,,,1000.0,EXETER,8,11,1951,1951-11-08,Yangdok County,POINT (126.88241 39.14497),True
3393,596,350-51,98th Bomb Wing,B-29,1.0,1.0,,,Anbyon,,,CU 7223,52SCJ7223,39.0467,127.52086,,,2,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,21000,,Mission accomplished as scheduled with the exception of the target at Koksan BT 9795 which was not bombed by 2 red-band leaflet bombs. Bombs intended for the target were instead dropped on Yonghung CU 4974.Fuzed to discharge leaflets 1000 ft above the terrain.,,,1000.0,EXETER,8,11,1951,1951-11-08,Anbyon-up,POINT (127.52086 39.0467),True
3394,596,350-51,98th Bomb Wing,B-29,1.0,1.0,,,Oro-ri,,,CV 6830,52SCK6830,40.00989,127.45341,,,2,M16-A1 Leaflet Bomb,Radar,,,Psycological Warfare,20000,,Fuzed to discharge leaflets 1000 ft above the terrain.,,,1000.0,EXETER,8,11,1951,1951-11-08,Yonggwang-up,POINT (127.45341 40.00989),True
